station,rating
Maruyamakoen,4.0
Odori,3.9
Nango 18-chome,3.4
Nishi 11-chome,3.8
Nishi 18-chome,3.4
Nishi 28-chome,3.1
Naebo,3.8
Bus Center Mae,3.5
Sapporo (Sapporoshiei),4.1
Soen,3.6
Sapporo (JR),4.1
Nijuyonken,3.6
Kita 24-jo,3.7
Hachiken,3.3
Horohirabashi,3.5
Kita 18-jo,3.7
Ropeway Iriguchi,3.9
Susukino (Shiei),4.0
Jieitaimae,3.4
Hassamuminami,3.2
Hosui Susukino,3.4
Higashisapporo,3.8
Nakajimakoen,4.0
Nakajimakoendori,4.0
Chuotoshokanmae,3.6
Seishugakuenmae,3.8
Ishiyamadori,4.0
Higashitondendori,3.6
Denshajigyoshomae,4.3
Nakanoshima,3.8
Minamihiragishi,3.6
Hiragishi (Sapporoshiei),3.6
Sumikawa,4.1
Konanshogakkomae,3.8
Ainosatokyoikudai,3.6
Takuhoku,3.1
Ainosatokoen,3.7
Shinoro,3.5
Asabu,3.5
Kita 12-jo,3.8
Kita 13-jo Higashi,3.2
Shinkotoni,4.0
Kita 34-jo,3.2
Shinkawa (Hokkaido),3.3
Yurigahara,2.9
Sakaemachi (Sapporo),3.7
Taihei,3.6
Shindohigashi,3.7
Higashikuyakushomae,3.5
Kanjodorihigashi,3.4
Motomachi (Sapporo),3.5
Kikusui,3.6
Shiroishi (JR Hokkaido),3.6
Heiwa,3.6
Atsubetsu,3.3
Shinsapporo,3.6
Shiroishi (Sapporoshiei),3.7
Nango 13-chome,3.7
Nango 7-chome,3.4
Oyachi,3.7
Hibarigaoka (Hokkaido),3.4
Gakuenmae (Sapporo),3.8
Tsukisamuchuo,3.6
Fukuzumi,3.6
Misono,3.7
Toyohirakoen,3.6
Makomanai,3.6
Kotoni (JR),3.9
Kotoni (Sapporoshiei),3.9
Hassamuchuo,3.7
Miyanosawa,3.8
Inazumikoen,3.3
Hassamu,3.9
Teine,3.9
Kaminopporo,3.3
Shinrinkoen (Hokkaido),3.7
Inaho,3.3
Hoshioki,3.7
Hoshimi,3.3
Zenibako,3.9
Aoyagicho,3.8
Hakodate,4.1
Horaicho,3.6
Goryokaku,3.5
Kikyo,3.6
Uoichibadori,3.2
Shiyakushomae (Hakodate),3.7
Hakodate Dock Mae,3.9
Matsukazecho,3.9
Shikabe,3.8
Choshiguchi,3.8
Yunokawa,3.8
Chitosecho (Hokkaido),3.8
Omachi (Hokkaido),3.6
Kashiwagicho,3.9
Fukaboricho,3.5
Showabashi,3.3
Nanaehama,3.6
Keibajomae (Hakodate),4.4
Komabashakomae,3.8
Goryokakukoenmae,3.8
Suginamicho,3.0
Jujigai,4.2
Suehirocho (Hakodate),4.1
Chuobyoinmae,3.4
Yachigashira,4.1
Chiyogadai,3.4
Yunokawaonsen,4.1
Hakodate-arena-mae,3.9
Hakodateekimae,4.0
Otaru,4.1
Minamiotaru,4.0
Asari,4.0
Ranshima,4.1
Shioya,3.3
Otaruchikko,4.2
Asahikawa,4.2
Chikabumi,3.8
Asahikawayojo,3.3
Ino,3.6
Kaguraoka,3.9
Shin-asahikawa,3.5
Nagayama,3.7
Kutchan,3.8
Higashiasahikawa,4.0
Nishikagura,3.3
Kamikawa,4.1
Minaminagayama,3.8
Kitahinode,3.3
Chiyogaoka,3.5
Nishiseiwa,4.4
Pippu,4.1
Sakimori,4.0
Muroran,3.7
Bokoi,4.0
Wanishi,3.6
Motowanishi,4.5
Misaki,4.9
Higashimuroran,3.8
Washibetsu,3.4
Kushiro,3.8
Shinfuji (Hokkaido),3.2
Otanoshike,3.5
Musa (Hokkaido),3.7
Shin-otanoshike,3.2
Onbetsu,3.5
Obihiro,4.0
Hakurindai,3.2
Satsunai,3.3
Ikeda (Hokkaido),3.7
Nishiobihiro,3.5
Midorigaoka (Hokkaido),3.2
Ainonai,3.4
Kitami,3.4
Higashiainonai,3.6
Abashiri,3.8
Taisei (Hokkaido),3.8
Tanno,4.1
Itoshino,4.0
Hiushinai,3.7
Nishikitami,3.3
Hakuyo,4.1
Rubeshibe,4.0
Nishirubeshibe,3.1
Shin-yubari,3.8
Iwamizawa,3.9
Kamihoromui,3.3
Minenobu,3.6
Shibun,3.4
Horomui,3.5
Ishikaritsukigata,3.9
Chiraiotsu,4.0
Kurisawa,3.5
Kuriyama,4.0
Memanbetsu,3.8
Hamakoshimizu,3.9
Kitahama (Hokkaido),3.5
Yamubetsu,4.0
Masuura,3.4
Yobito,3.7
Mokoto,3.9
Rumoi,4.1
Owada (Hokkaido),3.8
Horonuka,3.7
Aoba,3.3
Tomakomai,3.4
Numanohata,3.5
Itoi,3.8
Uenae,3.4
Toasa,2.8
Nishikioka,3.5
Takinoue,3.6
Kurioka,3.6
Shadai,3.3
Katsuradai,3.1
Yufutsu,3.5
Minamiwakkanai,3.7
Wakkanai,4.3
Kabutonuma,3.4
Yuchi,3.9
Bibai,3.7
Koshunai,3.5
Chashinai,3.5
Hamaatsuma,3.8
Ashibetsu,3.6
Kamiashibetsu,3.5
Hiragishi (JR),3.3
Nokanan,3.7
Ebetsu,2.4
Nopporo,3.8
Oasa,3.5
Takasago (Hokkaido),3.3
Toyohoro,3.9
